ID;loglike
122;-3.24886690454707
123;-3.6551050787068
124;-8.81675752240622
125;-7.09244940817702
126;-9.36598376404646
127;-8.16051242965935
128;-3.53593060324781
129;-6.96092617489818
130;-2.53275506441116
131;-3.03879576671085
132;-8.37836926948509
133;-7.19488477438737
134;-10.7230834236071
135;-3.05312515743742
136;-7.16526845082891
137;-4.09442501012136
138;-6.18676902078022
139;-7.14516156483919
140;-3.25251662429984
141;-4.33593296492
142;-5.33238419660114
143;-4.16250524148862
144;-3.38355849460804
145;-6.27136096667648
146;-2.73337552766033
147;-2.00493440432081
148;-9.82054846081528
149;-6.93753656662078
150;-7.15710982575591
151;-6.23434483355213
152;-7.22427377113804
153;-5.82103223839475
154;-5.92979158328462
155;-6.08066657324091
156;-1.99830278945126
157;-3.26110747150796
158;-4.86300310620359
159;-3.63786705834106
160;-6.29061247887821
161;-4.25607065426984
162;-4.54265187990661
163;-6.06502591524466
164;-2.91164467188897
165;-10.4577328684647
166;-2.60016576132704
167;-6.86962577739927
168;-4.62400056332414
169;-4.74330717722608
170;-6.9197363654962
171;-11.814039427398
172;-2.90082581627725
173;-3.62737926665719
174;-6.39977410403384
175;-4.26616955621529
176;-4.53135343459799
177;-4.242622136824
178;-4.81794931247796
179;-7.0725142233432
180;-4.25831243280173
181;-4.97054953023527
182;-4.94482351152126
183;-4.60946284123956
184;-5.04930414545328
185;-5.90650320902655
186;-1.05987063158544
187;-6.65497294365238
188;-3.0007186323085
189;-5.27831483524009
190;-5.71312627364511
191;-3.24576942883521
192;-3.6608448400067
193;-5.94325728706071
194;-6.3897480459165
195;-2.03720562332051
196;-6.52719507341618
197;-6.51944954211004
198;-4.3035983555121
199;-3.4252919484342
200;-6.06028095419538
201;-2.98963874333338
202;-2.83500101215402
203;-4.29083964493909
204;-6.90942727833151
205;-3.84766322688117
206;-4.2406552228294
207;-5.10238447634224
208;-7.01733740327089
209;-6.79869608525256
210;-3.38299302878757
211;-4.10943819966267
212;-5.50217321606964
213;-5.20614771522967
214;-3.09812592566191
215;-10.8057380185085
216;-10.9267486776652
217;-4.30873106619442
218;-4.53171234441814
219;-6.67163777143984
220;-1.89585384637704
221;-3.66859039740545
222;-13.9890060249899
223;-4.58272855077835
224;-4.49507200121437
225;-3.8475581601665
226;-3.43926212719796
227;-3.28832610180766
228;-4.1275719222244
229;-3.10186445119542
230;-3.64494582800342
231;-4.98151737642434
232;-4.13890092782284
233;-3.93038801387856
234;-7.1050232921168
235;-7.81507159361921
236;-4.58231435301462
